23/01/2007, 06/03/2007, WEATHER
26/02/2007, 09/04/2007, NAVRATRA
13/03/2007, 24/04/2007, INFLATION
02/08/2007, 13/09/2007, WEATHER
13/03/2008, 24/04/2008, INFLATION
24/03/2008, 05/05/2008, NAVRATRA
20/05/2008, 01/07/2008, FUEL
26/06/2008, 07/08/2008, WEATHER
09/08/2008, 20/09/2008, WEATHER
16/12/2008, 27/01/2009, TRANSPORT
24/06/2009, 05/08/2009, WEATHER
28/06/2009, 09/08/2009, HOARDING
29/08/2009, 10/10/2009, NAVRATRA
16/09/2009, 28/10/2009, WEATHER
23/10/2009, 04/12/2009, INFLATION
28/11/2009, 09/01/2010, HOARDING
11/12/2009, 22/01/2010, INFLATION
12/02/2010, 26/03/2010, INFLATION
23/04/2010, 04/06/2010, INFLATION
04/09/2010, 16/10/2010, WEATHER
19/12/2010, 30/01/2011, HOARDING
23/12/2010, 03/02/2011, INFLATION
25/06/2011, 06/08/2011, FUEL
22/07/2011, 02/09/2011, WEATHER
05/08/2011, 16/09/2011, INFLATION
12/08/2011, 23/09/2011, WEATHER
21/03/2013, 02/05/2013, NAVRATRA
02/05/2013, 13/06/2013, INFLATION
30/08/2013, 11/10/2013, INFLATION
21/09/2013, 02/11/2013, HOARDING
28/09/2013, 09/11/2013, WEATHER
12/10/2013, 23/11/2013, HOARDING
23/10/2013, 04/12/2013, HOARDING
21/12/2013, 01/02/2014, HOARDING
17/02/2014, 31/03/2014, WEATHER
10/03/2014, 21/04/2014, NAVRATRA
15/03/2015, 26/04/2015, WEATHER


